"","cow","year","milex","version"
"718","JAM",1992,19360,2011
"719","JAM",1993,27000,2011
"720","JAM",1994,28000,2011
"721","JAM",1995,28000,2011
"722","JAM",1996,28000,2011
"723","JAM",1997,42000,2011
"724","JAM",1998,45000,2011
"725","JAM",1999,51000,2011
"726","JAM",2000,42000,2011
"727","JAM",2001,40000,2011
"728","JAM",2002,56000,2011
"729","JAM",2003,52000,2011
"730","JAM",2004,53000,2011
"731","JAM",2005,56000,2011
"732","JAM",2006,57000,2011
"733","JAM",2007,108000,2011
"734","JAM",2008,96000,2011
"735","JAM",2009,62000,2011
"736","JAM",2010,102000,2011
"737","JAM",2011,139000,2011
"738","JAM",2012,139000,2011
"739","TRI",1962,0,2011
"740","TRI",1963,1930,2011
"741","TRI",1964,2865,2011
"742","TRI",1965,2515,2011
"743","TRI",1966,2515,2011
"744","TRI",1967,2632,2011
"745","TRI",1968,2350,2011
"746","TRI",1969,2850,2011
"747","TRI",1970,3350,2011
"748","TRI",1971,3949,2011
"749","TRI",1972,4164,2011
"750","TRI",1973,3726,2011
"751","TRI",1974,4627,2011
"752","TRI",1975,5991,2011
"753","TRI",1976,6564,2011
"754","TRI",1977,8042,2011
"755","TRI",1978,14900,2011
"756","TRI",1979,21903,2011
"757","TRI",1980,29103,2011
"758","TRI",1981,43009,2011
"759","TRI",1982,68790,2011
"760","TRI",1983,81022,2011
"761","TRI",1984,75020,2011
"762","TRI",1985,73470,2011
"763","TRI",1986,193750,2011
"764","TRI",1987,-9,2011
"765","TRI",1988,-9,2011
"766","TRI",1989,59000,2011
"767","TRI",1990,-9,2011
"768","TRI",1991,29000,2011
"769","TRI",1992,74000,2011
"770","TRI",1993,-9,2011
"771","TRI",1994,77000,2011
"772","TRI",1995,72000,2011
"773","TRI",1996,67000,2011
"774","TRI",1997,40000,2011
"775","TRI",1998,44000,2011
"776","TRI",1999,40000,2011
"777","TRI",2000,62000,2011
"778","TRI",2001,67000,2011
"779","TRI",2002,28000,2011
"780","TRI",2003,55000,2011
"781","TRI",2004,70000,2011
"782","TRI",2005,64000,2011
"783","TRI",2006,52000,2011
"784","TRI",2007,55000,2011
"785","TRI",2008,143000,2011
"786","TRI",2009,106000,2011
"787","TRI",2010,170000,2011
"788","TRI",2011,379000,2011
"789","TRI",2012,460000,2011
"790","BAR",1966,0,2011
"791","BAR",1967,0,2011
"792","BAR",1968,0,2011
"793","BAR",1969,0,2011
"794","BAR",1970,0,2011
"795","BAR",1971,600,2011
"796","BAR",1972,800,2011
"797","BAR",1973,1000,2011
"798","BAR",1974,1000,2011
"799","BAR",1975,1000,2011
"800","BAR",1976,800,2011
"801","BAR",1977,1000,2011
"802","BAR",1978,1000,2011
"803","BAR",1979,3000,2011
"804","BAR",1980,10000,2011
"805","BAR",1981,11000,2011
"806","BAR",1982,8000,2011
"807","BAR",1983,9000,2011
"808","BAR",1984,11000,2011
"809","BAR",1985,10000,2011
"810","BAR",1986,9000,2011
"811","BAR",1987,8000,2011
"812","BAR",1988,11000,2011
"813","BAR",1989,10000,2011
"814","BAR",1990,21300,2011
"815","BAR",1991,-9,2011
"816","BAR",1992,-9,2011
"817","BAR",1993,12000,2011
"818","BAR",1994,13000,2011
"819","BAR",1995,14000,2011
"820","BAR",1996,14000,2011
"821","BAR",1997,12000,2011
"822","BAR",1998,13000,2011
"823","BAR",1999,12000,2011
"824","BAR",2000,13000,2011
"825","BAR",2001,13000,2011
"826","BAR",2002,13000,2011
"827","BAR",2003,24000,2011
"828","BAR",2004,24000,2011
"829","BAR",2005,26000,2011
"830","BAR",2006,27000,2011
"831","BAR",2007,28000,2011
"832","BAR",2008,30000,2011
"833","BAR",2009,26000,2011
"834","BAR",2010,30000,2011
"835","BAR",2011,33000,2011
"836","BAR",2012,33000,2011
"837","DMA",1978,218,2011
"838","DMA",1979,240,2011
"839","DMA",1980,-9,2011
"840","DMA",1981,-9,2011
"841","DMA",1982,-9,2011
"842","DMA",1983,-9,2011
"843","DMA",1984,-9,2011
"844","DMA",1985,-9,2011
"845","DMA",1986,0,2011
"846","DMA",1987,0,2011
"847","DMA",1988,0,2011
"848","DMA",1989,0,2011
"849","DMA",1990,0,2011
"850","DMA",1991,0,2011
"851","DMA",1992,0,2011
"852","DMA",1993,0,2011
"853","DMA",1994,0,2011
"854","DMA",1995,0,2011
"855","DMA",1996,0,2011
"856","DMA",1997,0,2011
"857","DMA",1998,0,2011
"858","DMA",1999,0,2011
"859","DMA",2000,0,2011
"860","DMA",2001,0,2011
"861","DMA",2002,0,2011
"862","DMA",2003,0,2011
"863","DMA",2004,0,2011
"864","DMA",2005,0,2011
"865","DMA",2006,0,2011
"866","DMA",2007,0,2011
"867","DMA",2008,0,2011
"868","DMA",2009,0,2011
"869","DMA",2010,0,2011
"870","DMA",2011,0,2011
"871","DMA",2012,0,2011
"872","GRN",1974,1408,2011
"873","GRN",1975,1700,2011
"874","GRN",1976,1829,2011
"875","GRN",1977,2262,2011
"876","GRN",1978,-9,2011
